pearson_surprise_vividness,pearson_p_value,pearson_surprise_recall,pearson_surprise_content,spearman_surprise_vividness,mean_surprise,std_surprise,mean_vividness,std_vividness,mean_recall,mean_errors_replayed,mean_resolution,trial
0.4492471943928488,0.00031744636057467405,0.41428762300336436,0.5466287616382642,0.42761739131502013,0.040648995800621285,0.020593710758523714,0.2273739698268404,0.19973488415937812,0.18896352832880314,0.9666666666666667,0.7310162902592029,0
0.5348373110968737,1.07138915820424e-05,0.48388024823572984,0.4588747478406882,0.36071977143239625,0.039385309111368526,0.018347211618261687,0.22320870254452835,0.2116142880695579,0.17540736794911652,0.9166666666666666,0.7321037001286641,1
0.3997422012017243,0.0015545184034980672,0.3748539535779589,0.5149150713837382,0.36890102860619833,0.04098198414355365,0.019722068461711324,0.231633810948462,0.18532348334121257,0.1868364360747473,0.9833333333333333,0.7103116208128454,2
0.5220076960788738,1.8896519333072057e-05,0.5199984093730029,0.4001314180997755,0.37192819167142727,0.04074707844260332,0.01965087784150219,0.22906945620899666,0.19658726081745054,0.17694839320337075,1.0,0.6841891567324648,3
0.42859615846404897,0.0006342225858349844,0.3884138598249758,0.4805158142233879,0.331628485664776,0.040405192436501314,0.018866850469133986,0.17216736124667148,0.12732777380729896,0.1419347814170889,0.9166666666666666,0.760874560002715,4
0.4987516908186893,4.994383555802082e-05,0.5502318250097477,0.4614035710709717,0.31863306879956277,0.03974189071212716,0.018482600766473928,0.24645654638373732,0.23873848730624084,0.20167718060810072,0.8333333333333334,0.7634335867047745,5
0.6715735658466604,4.267645891030015e-09,0.6611085108921325,0.691176097602343,0.6619166590649016,0.044684701625990544,0.019345795370586658,0.24359522340913822,0.21619491720650402,0.18920395846030208,0.9166666666666666,0.7133398547535276,6
0.4329153440211099,0.0005507310219941869,0.3653700675492443,0.5283264058264246,0.39919977831673054,0.040102827746204536,0.02070156223157034,0.28561103126507953,0.2493181509073791,0.22665012691350145,1.25,0.6479867992332378,7
0.5894139637486605,7.24155247316144e-07,0.5850088244417663,0.5387514886573259,0.46248443081008095,0.038433736188483204,0.01705976339194504,0.16745186560951833,0.1256899887949151,0.14392684008766404,0.55,0.7583366633809728,8
0.42697428948575117,0.0006684243727428066,0.3858156085269369,0.41157566423820957,0.27400753064615374,0.03915910005190416,0.0182451963125962,0.23162020199077343,0.19639723061614278,0.19087375531374648,1.0333333333333334,0.6719895254606051,9
