noise,consensus,info_flow,utility
0.0,0.8170051227931294,0.792,0.6467840330926641
0.02,0.8763827217869558,1.0,0.8763827217869558
0.04,0.7580491346516591,1.0,0.7580491346516591
0.06,0.6658972462044994,1.0,0.6658972462044994
0.08,0.5818060045233674,1.0,0.5818060045233674
0.1,0.5071199132385537,1.0,0.5071199132385537
0.12,0.4293692773490627,1.0,0.4293692773490627
0.14,0.3534885358977227,1.0,0.3534885358977227
0.16,0.3285593924021939,1.0,0.3285593924021939
0.18,0.2604705545973333,0.999,0.26023725510346624
0.2,0.243673746234195,0.9960000000000001,0.24267414827290423
0.22,0.19134196688030197,0.983,0.18786703561305013
0.24,0.15910619386827587,0.9709999999999999,0.1547716603229548
0.26,0.13786956728713484,0.9560000000000001,0.13162457950561202
0.28,0.11889649937406122,0.897,0.1065983688051014
0.3,0.10666740024151475,0.874,0.09268003088137569
0.32,0.06130608318264328,0.8130000000000001,0.04989962375808077
0.34,0.06094503140222858,0.776,0.04761177493622737
0.36,0.057562513837700946,0.7060000000000001,0.04041666523499835
0.38,0.030099885066550546,0.626,0.018641487372888926
0.4,0.030793409838390563,0.5820000000000001,0.01790063712220067
0.42,0.004221729979369071,0.532,0.0023679090603132397
0.44,0.006274665077752673,0.45899999999999996,0.002864061693861446
0.46,0.006527959402281569,0.44699999999999995,0.002970221528038114
0.48,0.0,0.38099999999999995,0.0
0.5,0.000398334063601391,0.34900000000000003,0.00014339871464687226
