category,n_agents,belief_type,topology,interaction_rule,threshold_k
topology,50,continuous,ring,copy_success,0.07319376188753912
topology,50,continuous,small_world,copy_success,0.07459951792498745
topology,50,continuous,random,copy_success,0.07550791934307315
topology,50,continuous,scale_free,copy_success,0.0782732541092685
topology,50,continuous,hierarchical,copy_success,0.0747551758864452
topology,50,continuous,community,copy_success,0.0760603826339139
belief_type,50,continuous,ring,copy_success,0.07319376188753912
belief_type,50,binary,ring,copy_success,0.0
belief_type,50,categorical,ring,copy_success,0.0
belief_type,50,logical,ring,copy_success,0.0
interaction_rule,50,continuous,ring,copy_success,0.07319376188753912
interaction_rule,50,continuous,ring,majority_voting,0.2
interaction_rule,50,continuous,ring,bayesian,0.0
interaction_rule,50,continuous,ring,trust_based,0.07319376188753912
scale,50,continuous,small_world,copy_success,0.07459951792498745
scale,100,continuous,small_world,copy_success,0.0705287960206348
scale,200,continuous,small_world,copy_success,0.07030157119804212
combined,50,binary,community,majority_voting,0.019344961497776286
combined,50,logical,scale_free,trust_based,0.0
combined,50,categorical,hierarchical,bayesian,0.0
combined,50,binary,random,copy_success,0.0
